#============================================================================#          
#-------------------------------     Menu     -------------------------------#          
#============================================================================#          
# L1Seed                                                     Bit  Prescale POG     PAG 
L1_AlwaysTrue                                                458         1
L1_BPTX_AND_Ref1_VME                                         486         1
L1_BPTX_AND_Ref3_VME                                         487         1
L1_BPTX_AND_Ref4_VME                                         488         1
L1_BPTX_BeamGas_B1_VME                                       491         1
L1_BPTX_BeamGas_B2_VME                                       492         1
L1_BPTX_BeamGas_Ref1_VME                                     489         1
L1_BPTX_BeamGas_Ref2_VME                                     490         1
L1_BPTX_NotOR_VME                                            482         1
L1_BPTX_OR_Ref3_VME                                          483         1
L1_BPTX_OR_Ref4_VME                                          484         1
L1_BPTX_RefAND_VME                                           485         1
L1_BptxMinus                                                 467         1
L1_BptxOR                                                    464         1
L1_BptxPlus                                                  466         1
L1_BptxXOR                                                   465         1
L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142               494         1
L1_DoubleEG8er2p5_HTT260er                                   247         1
L1_DoubleEG8er2p5_HTT280er                                   248         1
L1_DoubleEG8er2p5_HTT300er                                   249         1
L1_DoubleEG8er2p5_HTT320er                                   250         1
L1_DoubleEG8er2p5_HTT340er                                   251         1
L1_DoubleEG_15_10_er2p5                                      205         1
L1_DoubleEG_20_10_er2p5                                      206         1
L1_DoubleEG_22_10_er2p5                                      207         1
L1_DoubleEG_25_12_er2p5                                      208         1
L1_DoubleEG_25_14_er2p5                                      209         1
L1_DoubleEG_27_14_er2p5                                      210         1
L1_DoubleEG_LooseIso20_10_er2p5                              212         1
L1_DoubleEG_LooseIso22_10_er2p5                              213         1
L1_DoubleEG_LooseIso22_12_er2p5                              214         1
L1_DoubleEG_LooseIso25_12_er2p5                              215         1
L1_DoubleIsoTau32er2p1                                       275         1
L1_DoubleIsoTau34er2p1                                       276         1
L1_DoubleIsoTau36er2p1                                       277         1
L1_DoubleJet100er2p3_dEta_Max1p6                             345         1
L1_DoubleJet100er2p5                                         341         1
L1_DoubleJet112er2p3_dEta_Max1p6                             346         1
L1_DoubleJet120er2p5                                         342         1
L1_DoubleJet150er2p5                                         343         1
L1_DoubleJet30er2p5_Mass_Min150_dEta_Max1p5                  348         1
L1_DoubleJet30er2p5_Mass_Min200_dEta_Max1p5                  349         1
L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5                  350         1
L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5                  351         1
L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5                  352         1
L1_DoubleJet30er2p5_Mass_Min360_dEta_Max1p5                  353         1
L1_DoubleJet35_Mass_Min450_IsoTau45_RmOvlp                   363         1
L1_DoubleJet40er2p5                                          340         1
L1_DoubleJet_100_30_DoubleJet30_Mass_Min620                  356         1
L1_DoubleJet_110_35_DoubleJet35_Mass_Min620                  357         1
L1_DoubleJet_115_40_DoubleJet40_Mass_Min620                  358         1
L1_DoubleJet_115_40_DoubleJet40_Mass_Min620_Jet60TT28        360         1
L1_DoubleJet_120_45_DoubleJet45_Mass_Min620                  359         1
L1_DoubleJet_120_45_DoubleJet45_Mass_Min620_Jet60TT28        361         1
L1_DoubleJet_80_30_Mass_Min420_DoubleMu0_SQ                  366         1
L1_DoubleJet_80_30_Mass_Min420_IsoTau40_RmOvlp               364         1
L1_DoubleJet_80_30_Mass_Min420_Mu8                           365         1
L1_DoubleJet_90_30_DoubleJet30_Mass_Min620                   355         1
L1_DoubleLooseIsoEG22er2p1                                   217         1
L1_DoubleLooseIsoEG24er2p1                                   218         1
L1_DoubleMu0                                                  40         1
L1_DoubleMu0_Mass_Min1                                        43         1
L1_DoubleMu0_OQ                                               39         1
L1_DoubleMu0_SQ                                               41         1
L1_DoubleMu0_SQ_OS                                            42         1
L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8                  142         1
L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4                             59         1
L1_DoubleMu0er1p5_SQ                                          55         1
L1_DoubleMu0er1p5_SQ_OS                                       56         1
