n    , L1AlgoName                                                     , 2.20   , 2.00   , 2.01   , 2.02   , 1.80   , 1.81    POG         , PAG           , Comment                         , uGT 
#0   , L1_SingleMuCosmics                                             , 0      , 0      , 0      , 0      ,        ,        , Mu          , Slim          ,                                 ,     
1    , L1_SingleMuOpen                                                , 46000  , 42000  , 42000  , 42000  , 38000  , 38000  , Mu          , Slim          , Check user                      ,     
2    , L1_SingleMu3                                                   , 24000  , 22000  , 22000  , 22000  , 20000  , 20000  , Mu          , Slim          ,                                 ,     
3    , L1_SingleMu5                                                   , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          ,                                 ,     
4    , L1_SingleMu7                                                   , 600    , 500    , 500    , 500    , 300    , 450    , Mu          , Slim          ,                                 ,     
5    , L1_SingleMu10_LowQ                                             , 910    , 830    , 830    , 830    , 750    , 750    , Mu          , Slim          ,                                 ,     
#6   , L1_SingleMu11_LowQ                                             , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim|Muon     , L1TDPG67                        ,     
7    , L1_SingleMu16                                                  , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          ,                                 ,     
8    , L1_SingleMu18                                                  , 300    , 275    , 275    , 275    , 250    , 250    , Mu          , Slim          ,                                 ,     
9    , L1_SingleMu20                                                  , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          ,                                 ,     
10   , L1_SingleMu22                                                  , 0      , 0      , 0      , 0      , 1      , 1      , Mu          , Slim          ,                                 ,     
11   , L1_SingleMu25                                                  , 1      , 1      , 1      , 1      , 1      , 1      , Mu          , Slim          ,                                 ,     
12   , L1_SingleMu30                                                  , 1      , 1      , 1      , 1      , 1      , 1      , Mu          , Slim          ,                                 ,     
13   , L1_SingleMu14er2p1                                             , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          ,                                 ,     
14   , L1_SingleMu16er2p1                                             , 300    , 275    , 275    , 275    , 250    , 250    , Mu          , Slim          ,                                 ,     
15   , L1_SingleMu18er2p1                                             , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          ,                                 ,     
16   , L1_SingleMu20er2p1                                             , 0      , 0      , 0      , 0      , 1      , 1      , Mu          , Slim          ,                                 ,     
17   , L1_SingleMu22er2p1                                             , 1      , 1      , 1      , 1      , 1      , 1      , Mu          , Slim          ,                                 ,     
20   , L1_DoubleMu0                                                   , 910    , 830    , 830    , 830    , 750    , 750    , Mu          , Slim          ,                                 ,     
21   , L1_DoubleMu_11_4                                               , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim|Muon     ,                                 ,     
22   , L1_DoubleMu_12_5                                               , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          ,                                 ,     
23   , L1_DoubleMu_12_8                                               , 0      , 0      , 0      , 0      , 1      , 0      , Mu          , Slim          , Disable                         ,     
34   , L1_DoubleMu_12_8_SQ                                            , 1      , 1      , 0      , 0      , 1      , 0      , Mu          , Slim          , Backup                          , Add 
24   , L1_DoubleMu_13_6                                               , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          ,                                 ,     
25   , L1_DoubleMu_15_5                                               , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          , can disable                     ,     
35   , L1_DoubleMu_15_5_SQ                                            , 1      , 1      , 0      , 0      , 1      , 0      , Mu          , Slim          , Backup                          , Add 
26   , L1_DoubleMu_15_7                                               , 1      , 1      , 1      , 1      , 1      , 1      , Mu          , Slim          ,                                 ,     
27   , L1_TripleMu0                                                   , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          ,                                 ,     
28   , L1_TripleMu3                                                   , 0      , 0      , 0      , 0      , 1      , 1      , Mu          , Slim          ,                                 ,     
29   , L1_TripleMu_4_4_4                                              , 1      , 1      , 1      , 1      , 1      , 1      , Mu          , Slim          ,                                 ,     
30   , L1_TripleMu_5_0_0                                              , 0      , 0      , 0      , 0      , 0      , 0      , Mu          , Slim          ,                                 ,     
31   , L1_TripleMu_5_3_3                                              , 1      , 1      , 0      , 0      , 1      , 1      , Mu          , Slim          ,                                 ,     
32   , L1_TripleMu_5_5_3                                              , 1      , 1      , 1      , 1      , 1      , 1      , Mu          , Slim          ,                                 ,     
33   , L1_QuadMu0                                                     , 1      , 1      , 0      , 0      , 1      , 1      , Mu          , Slim          ,                                 ,     
40   , L1_SingleEG5                                                   , 140000 , 120000 , 120000 , 120000 , 100000 , 108000 , EG          , Slim          ,                                 ,     
41   , L1_SingleEG10                                                  , 18000  , 16000  , 16000  , 16000  , 15000  , 14400  , EG          , Slim          ,                                 ,     
42   , L1_SingleEG15                                                  , 5000   , 4600   , 4600   , 4600   , 3800   , 4000   , EG          , Slim|AlCa     ,                                 ,     
43   , L1_SingleEG18                                                  , 12000  , 11000  , 11000  , 11000  , 10000  , 9900   , EG          , Slim          ,                                 ,     
44   , L1_SingleEG24                                                  , 7600   , 6900   , 6900   , 6900   , 6200   , 6200   , EG          , Slim          ,                                 ,     
45   , L1_SingleEG26                                                  , 760    , 690    , 690    , 690    , 620    , 620    , EG          , Slim|AlCa     ,                                 ,     
46   , L1_SingleEG28                                                  , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
47   , L1_SingleEG30                                                  , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
48   , L1_SingleEG32                                                  , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
49   , L1_SingleEG34                                                  , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
50   , L1_SingleEG36                                                  , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim          ,                                 ,     
51   , L1_SingleEG38                                                  , 0      , 0      , 0      , 0      , 1      , 1      , EG          , Slim          ,                                 ,     
52   , L1_SingleEG40                                                  , 0      , 1      , 0      , 0      , 1      , 1      , EG          , Slim          ,                                 ,     
39   , L1_SingleEG42                                                  , 1      , 1      , 1      , 1      , 1      , 1      , EG          , Slim          ,                                 , Add 
53   , L1_SingleEG45                                                  , 1      , 1      , 1      , 1      , 1      , 1      , EG          , Slim|AlCa     ,                                 ,     
#54  , L1_SingleEG34er2p1                                             ,        ,        ,        ,        ,        ,        , EG          , Slim          ,                                 , Remo
#55  , L1_SingleEG36er2p1                                             ,        ,        ,        ,        ,        ,        , EG          , Slim          ,                                 , Remo
#56  , L1_SingleEG38er2p1                                             ,        ,        ,        ,        ,        ,        , EG          , Slim          ,                                 , Remo
57   , L1_SingleIsoEG18                                               , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim          ,                                 ,     
58   , L1_SingleIsoEG20                                               , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
59   , L1_SingleIsoEG22                                               , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
60   , L1_SingleIsoEG24                                               , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
61   , L1_SingleIsoEG26                                               , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
62   , L1_SingleIsoEG28                                               , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
63   , L1_SingleIsoEG30                                               , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
64   , L1_SingleIsoEG32                                               , 0      , 0      , 0      , 0      , 0      , 1      , EG          , Slim|AlCa     ,                                 ,     
65   , L1_SingleIsoEG34                                               , 0      , 0      , 0      , 0      , 0      , 1      , EG          , Slim|AlCa     ,                                 ,     
66   , L1_SingleIsoEG36                                               , 0      , 0      , 1      , 1      , 1      , 1      , EG          , Slim|AlCa     ,                                 ,     
67   , L1_SingleIsoEG38                                               , 0      , 1      , 1      , 1      , 1      , 1      , EG          , Slim          ,                                 ,     
78   , L1_SingleIsoEG40                                               , 1      , 1      , 1      , 1      , 1      , 1      , EG          , Slim          ,                                 , Add 
68   , L1_SingleIsoEG18er2p1                                          , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim          ,                                 ,     
69   , L1_SingleIsoEG20er2p1                                          , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
70   , L1_SingleIsoEG22er2p1                                          , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
71   , L1_SingleIsoEG24er2p1                                          , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
72   , L1_SingleIsoEG26er2p1                                          , 0      , 0      , 0      , 0      , 50     , 50     , EG          , Slim|AlCa     , L1TDPG89                        ,     
73   , L1_SingleIsoEG28er2p1                                          , 0      , 50     , 50     , 50     , 0      , 0      , EG          , Slim|AlCa|TOP , L1TDPG89                        ,     
74   , L1_SingleIsoEG30er2p1                                          , 50     , 50     , 50     , 50     , 0      , 1      , EG          , Slim|AlCa|TOP , L1TDPG89                        ,     
75   , L1_SingleIsoEG32er2p1                                          , 0      , 0      , 0      , 0      , 0      , 1      , EG          , Slim          ,                                 ,     
76   , L1_SingleIsoEG34er2p1                                          , 0      , 0      , 1      , 1      , 1      , 1      , EG          , Slim          ,                                 ,     
77   , L1_SingleIsoEG36er2p1                                          , 0      , 1      , 1      , 1      , 1      , 1      , EG          , Slim          ,                                 ,     
79   , L1_SingleIsoEG38er2p1                                          , 1      , 1      , 1      , 1      , 1      , 1      , EG          , Slim          ,                                 , Add 
